part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
CL0204KRX5R6BB103;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;10 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB104;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;100 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB223;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;22 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB473;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;47 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
