part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
CC0201KRX7S6BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X7R;General purpose X7R;0201 (0603);X7S;-55 to +125°C;10;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;12.50%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX7S6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf;;
CC1206KKX7S0BB225;1206_350_190_190_090_170.STEP;;General Purpose;CC X7R;General purpose X7R;1206 (3216);X7S;-55 to +125°C;100;2.2 uF;±10%;3.20 ±0.30;1.60 ±0.30;1.60 ±0.30;0.30~0.90;1.4;;;;5.00%;45.5 MΩ;150%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;2,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1206KKX7S0BB225;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf;;
CC1210KKX7S9BB106;1210_360_280_270_075_210.STEP;;General Purpose;CC X7R;General purpose X7R;1210 (3225);X7S;-55 to +125°C;50;10 uF;±10%;3.20 ±0.40;2.50 ±0.30;2.50 ±0.20;0.25~0.75;1.0;;;;10.00%;10 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;500;0.13100 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1210KKX7S9BB106;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf;;
CC0805KKX7S7BB106;0805_220_145_145_075_070.STEP;;General Purpose;CC X7R;General purpose X7R;0805 (2012);X7S;-55 to +125°C;16.0;10 uF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;10.00%;10 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX7S7BB106;;;
