Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PA0201-R-070RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.0;;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA0402-R-070RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.0;;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA0402-R-7W0RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA0603-R-070RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.0;;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA0805-R-470RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;0.0;;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA1206-R-070RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
PA2010-K-070RL;PA Jumper;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;0.0;Based on Spec;-;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA Jumper_L_51_RoHS_2.pdf
