Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PA1206FKL070U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0005;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL070U6L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0006;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL470U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0005;±150ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL470U6L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0006;±150ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL670U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0005;±150ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL670U6L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0006;±150ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL7W0U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0005;±150ppm/°C;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
PA1206FKL7W0U6L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Embossed plastic tape;07 inch Dia. Reel;0.0006;±150ppm/°C;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_0.5_0.6mR_0.pdf
