Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AA104-JR-0730RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;30.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
AA104-JR-0733RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;33.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
AA104-JR-0736RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;36.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
AA104-JR-0739RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
AA104-JR-0743RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;43.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
AA104-JR-0747RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;47.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA102_104_122_124_51_RoHS_L_0.pdf
