Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
TR0402KR-0716KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;16000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0716RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;16.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07180KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;180000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07180RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;180.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0718KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;18000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0718RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;18.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K1L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1100.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1200.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K3L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1300.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K5L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1500.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K6L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1600.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071K8L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1800.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M1L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1100000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1200000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M3L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1300000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M5L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1500000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M6L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1600000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071M8L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1800000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071ML;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R1L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.1;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.2;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R3L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.3;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R5L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.5;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R6L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.6;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071R8L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.8;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-071RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;1.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07200KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;200000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07200RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;200.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0720KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;20000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0720RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;20.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07220KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;220000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07220RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;220.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0722KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;22000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0722RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;22.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07240KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;240000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07240RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;240.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0724KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;24000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0724RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;24.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07270KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;270000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07270RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;270.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0727KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;27000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0727RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;27.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072K2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2200.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
