part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
CC0100KRX5R6BB152;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;1.5 nF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB152;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100KRX5R6BB221;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;220 pF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100KRX5R6BB222;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;2.2 nF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB222;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100KRX5R6BB331;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;330 pF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100KRX5R6BB471;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;470 pF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100KRX5R6BB472;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;10.0;4.7 nF;±10%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100KRX5R6BB472;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100MRX5R4BB104;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;4.0;100 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;500 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R4BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100MRX5R4BB224;;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;4.0;220 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;227 MΩ;150%;IEC-60384;;;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R4BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;Reflow;01005_020002_013.STEP
CC0100MRX5R5BB104;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;6.3;100 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;500 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R5BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100MRX5R5BB223;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;6.3;22 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;2.27 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R5BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100MRX5R5BB224;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;6.3;220 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;227 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R5BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100MRX5R5BB333;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);X5R;-55 to +85°C;6.3;33 nF;±20%;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;10.00%;1.51 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100MRX5R5BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
