Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0402JRNPO0BN3R9;;;General Purpose;CC MV;General purpose midle voltage;0402 (1005);NPO;;100;3.9 pF;±5%;;;0.55;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO0BN3R9;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
CC0603GRNPO0BN5R0;;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;;100;5 pF;±2%;;;0.9;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603GRNPO0BN5R0;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
CC0603FRNPO0BN103;0603_170_090_090_060_050.STEP;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;-55 to +125°C;100;10 nF;±1%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.60;0.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603FRNPO0BN103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0603FRNPOYBN270;0603_170_090_090_060_050.STEP;;General Purpose;CC MV;General purpose midle voltage;0603 (1608);NPO;-55 to +125°C;250;27 pF;±1%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.60;0.4;;;;0.11%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0603FRNPOYBN270;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN151;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200;150 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN151;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN221;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200;220 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN331;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200;330 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN471;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200;470 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOABN681;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;200;680 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOABN681;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN102;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250;1 nF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN221;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250;220 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN331;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250;330 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC0805JKNPOYBN471;0805_220_145_145_075_070.STEP;;General Purpose;CC MV;General purpose midle voltage;0805 (2012);NPO;-55 to +125°C;250;470 pF;±5%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805JKNPOYBN471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1206GRNPOABN271;1206_335_175_070_075_185.STEP;;General Purpose;CC MV;General purpose midle voltage;1206 (3216);NPO;-55 to +125°C;200;270 pF;±2%;3.20 ±0.15;1.60 ±0.15;0.60 ±0.10;0.25~0.75;1.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.02260 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1206GRNPOABN271;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1206JPNPOABN101;1206_335_175_070_075_185.STEP;;General Purpose;CC MV;General purpose midle voltage;1206 (3216);NPO;-55 to +125°C;200;100 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.60 ±0.10;0.25~0.75;1.4;;;;0.10%;10.0 GΩ;150%;IEC-60384;Reflow/Wave;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.02260 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1206JPNPOABN101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_25.pdf;;
CC1812KKX7R0BB394;;;General Purpose;CC MV;General purpose midle voltage;1812 (4532);X7R;;100;390 nF;±10%;;;1.8;;;;;;;;;;;;;Embossed Plastic Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC1812KKX7R0BB394;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_24.pdf;;
