part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
AC0805KKX8R9BB104;0805_220_145_145_075_070.STEP;;Automotive;AC HiTemp;Automotive grade for high temperature application;0805 (2012);X8R;-55 to +150°C;50;100 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX8R9BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X8GX8R_16V-to-100V_2.pdf;;
AC0805KKX8R9BB223;0805_220_145_145_075_070.STEP;;Automotive;AC HiTemp;Automotive grade for high temperature application;0805 (2012);X8R;-55 to +150°C;50;22 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX8R9BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X8GX8R_16V-to-100V_2.pdf;;
AC0805KKX8R9BB333;0805_220_145_145_075_070.STEP;;Automotive;AC HiTemp;Automotive grade for high temperature application;0805 (2012);X8R;-55 to +150°C;50;33 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX8R9BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X8GX8R_16V-to-100V_2.pdf;;
AC0805KKX8R9BB473;0805_220_145_145_075_070.STEP;;Automotive;AC HiTemp;Automotive grade for high temperature application;0805 (2012);X8R;-55 to +150°C;50;47 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX8R9BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X8GX8R_16V-to-100V_2.pdf;;
