Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AC0612DR-07115KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;115000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07115RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;115.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07118KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;118000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07118RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;118.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711K3L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11300.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711K5L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11500.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711K8L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11800.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711R3L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11.3;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0711R5L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;11.5;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
